Nama Juice Buah,Rating,Total Reviews,Alamat,Latitude,Longitude,Place ID
Bakso Klenger Ratu Sari Nologaten,4.5,8625,"Jl. Jatempanol No.433, Nologaten, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281, Indonesia",-7.7786114,110.4001993,ChIJV5DJKMJZei4RztThNVU9I-s
Bakso Kampungqu dan Es Teler Kapten,4.9,2287,"69QQ+5WH, Jl. Deresan IV, Candok, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281, Indonesia",-7.7620569999999995,110.38987,ChIJm6SMMSpZei4RJ_c3VoaUIw4
"BAKSO ANDALAN 88, Pakuwon Mall Jogja Lantai 3",5,110,"Pakuwon Mall Jogja, Jl. Ring Road Utara Lantai 3, Kaliwaru, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281, Indonesia",-7.757924099999999,110.3992986,ChIJ7QkCbedZei4R5qyf6czkYBg
BAKSO KLENGER PUSAT YOGYAKARTA,4.6,5163,"Jl. Perumnas Mundu Saren, Nologaten, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281, Indonesia",-7.7757997,110.4045613,ChIJOf3Y9upZei4RggiTC-cRrxM
ZONA BAKSO SETURAN,4.1,81,"Gg. Gareng Jl. Astomulyo No.50, Kaliurang, Hargobinangun, Kec. Pakem, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55582, Indonesia",-7.771258999999999,110.40499,ChIJc4OvBmJZei4Rrh422Qeveds
Bakso Kota Cak Man Pakuwon Mall Sleman,4.5,276,"Pakuwon Mall Jogja, Jl. Ring Road Utara Lantai 2, Kaliwaru, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281, Indonesia",-7.759062699999999,110.39882850000001,ChIJd5IJ0qNZei4Rypk_8Rna0EU
Bakso & Mie Ayam Restu,4.5,1569,"6CM3+R6P, Dabag, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 22851, Indonesia",-7.7654191,110.4030631,ChIJl2k-0pdZei4R4atREO20KFY
"Bakso Urat Daging Sapi & Mie Ayam ""Nugroho""",4.6,207,"Jl. Wahid Hasyim No.8-2, Dabag, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281, Indonesia",-7.7647451,110.40313189999999,ChIJy4Xw55dZei4RcZ1uhxMhrmo
Bakso Tenis dan Mie Ayam bayam,4.5,852,"Jl. Gondang Raya, Kentungan, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281, Indonesia",-7.7561000999999985,110.391773,ChIJPXngyqdZei4R-KuQnEqFDrM
Bakso Pak Narto,4.4,911,"7C22+JJ2, Jl. Raya Manukan, Sanggrahan, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55283, Indonesia",-7.748495699999999,110.401501,ChIJVVVVVQxZei4RlR4LlQeNdm4
Bakso Tenis & Mie Ayam Bayam,4.4,1361,"Jl. Ringin Raya No.1A, Ngringin, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281, Indonesia",-7.7579325,110.40895789999999,ChIJ_0wF-JtZei4RgYVpTA18vxY
ZONA BAKSO CONDONGCATUR,4.3,1623,"Jl. Persatuan Condongcatur No.91, Dero, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281, Indonesia",-7.750294999999999,110.40831750000001,ChIJ1ziEXRJZei4RlGo1gU9vD8E
Bakso Balungan Pak Granat,4.5,3927,"Jl. Magelang No.Km.12, RT.02/RW.01, Beteng, Tridadi, Kec. Sleman, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55511, Indonesia",-7.7033745,110.3503597,ChIJExfTPUZfei4R2bycz_GS1Ls
Bakso dan Mie Ayam Pak Supri,4.6,843,"Gg. Guru No.6A, Santren, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281, Indonesia",-7.7733922,110.3887699,ChIJVVVVVbZZei4RkQecyxtCKss
Mie Ayam Bakso Madholin Asli Wonogiri,4.3,856,"Jl. Anggajaya 1 Depan Terminal No.295, Sanggrahan, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281, Indonesia",-7.756613799999999,110.3961719,ChIJhdixKqFZei4RlAqrnXu01Gw
Warung Sumsum Merapi ( Bakso Sumsum Merapi & Coffee ),4.4,451,"7CC5+7CQ, Jl. Plosokuning IV, Ploso Kuning IV, Minomartani, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581, Indonesia",-7.729342099999998,110.40886909999999,ChIJF7DeP1pZei4RFYoYInKux-w
BAKSO TITOTI Yogyakarta,4.6,1884,"Jl. Ring Road Utara, Nanggulan, Maguwoharjo, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281, Indonesia",-7.7786601,110.43004540000001,ChIJ_aeSHGtbei4RZINr4ep1wDI
Bakso Balungan Pak Granat Jakal 8 Yogyakarta,4.6,4071,"Jalan Kaliurang No.km 8, Ngabean Kulon, Sinduharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581, Indonesia",-7.7372195999999995,110.39402299999999,ChIJCWrm2hZZei4R5q5kFU_ledE
Bakso dan Mie Ayam Pak Tum,4.4,1348,"Santren gg argula tarakanita 1, Karang Gayam, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281, Indonesia",-7.7680069000000005,110.3926202,ChIJfT0IOlZZei4Rg42M4dQjFgM
Bakso dan Mi Ayam Pak Wito,4.7,66,"Jl. Kaliwaru No.11, Kaliwaru, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55283, Indonesia",-7.7606189,110.3999456,ChIJmwoGpUBZei4Rnk7kMtV-GXc
