Nama Juice Buah,Rating,Total Reviews,Alamat,Latitude,Longitude,Place ID
Bengkel serba motor2,4.7,203,"Jl. Selokan Mataram No.52, Pringwulung, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55283, Indonesia",-7.7678285,110.3943372,ChIJFY8vtbtZei4RIyqWg51p6mU
Bengkel Setya Motor,5,110,"Jl. Selokan Mataram No.451, Pringwulung, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281, Indonesia",-7.768020499999999,110.39855089999999,ChIJteDUOrxZei4Rq4VxkgwOL90
"Jaya baru motor,tambalbanpanggilan,bengkel panggilan",4.5,129,"Jl. Nangka No.172, Tempel, desa mundu, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281, Indonesia",-7.7764365999999985,110.40598159999999,ChIJG18zkXNZei4RJz-g2_vWSyE
Klinik Matic,4.2,391,"Jl. Selokan Mataram No.399, Kaliwaru, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281, Indonesia",-7.7676823,110.3981744,ChIJMT2qMLxZei4Rmvap28JkhOM
Bengkel Mobil Untung,4.8,32,"Jalan Puri Gejayan Indah 120B soropadan, Kaliwaru, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281, Indonesia",-7.7634769,110.39728780000002,ChIJBdUA_oFZei4RVr5O-aTwlaE
SOLID MOTOR,4.9,342,"Jl. Seturan Raya No.C11, Kledokan, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281, Indonesia",-7.7685021999999995,110.40998619999999,ChIJvRBRJgBZei4RqXO8CAR4e_c
"Bengket terdekat, bengkel panggilan 24 jam. Munif jaya motor",4.8,79,"Mundu rt4 No.02, Tempel, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55295, Indonesia",-7.776916399999999,110.4051257,ChIJ69lrBQBZei4RLbSBL_6_dfE
Bengkel Mobil Panggilan Mas Agus,4.9,46,"Jl. Sengkan No.12, Kentungan, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281, Indonesia",-7.7461291999999995,110.38990679999999,ChIJ34QQekdZei4RFNeEw05QTUs
Bengkel Mobil Wiwid,4.7,37,"Jl. Pandean II No.98, Candok, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281, Indonesia",-7.7617032,110.39222129999999,ChIJ_df9CLpZei4Rq2dxyMaHX5c
Bengkel Mobil Panggilan 24 Jam Yogyakarta,4.5,59,"Jl. Kaliurang No.12B, Kayen, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281, Indonesia",-7.7469391,110.3881136,ChIJkcDMfJFZei4Rq-h05qbV-cw
Bengkel Motor Garasi Injeksi,4.6,195,"Jl. Nusa Indah, Ngringin, Condongcatur, Depok Sleman DIY 55283, Ngringin, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55583, Indonesia",-7.759637799999998,110.40759709999999,ChIJx4sbGZ1bei4RPDuyEpaxiNA
Bengkel Mobil Integral,4.6,67,"Jl. Empu Panuluh No.70, Pringwulung, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281, Indonesia",-7.7686564,110.39418189999999,ChIJ0cy56btZei4Ru8Q4jMpmR98
Bengkel Mobil MM,4.9,76,"Jl. Ring Road Utara No.2, Pikgondeng, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281, Indonesia",-7.7594182,110.3884545,ChIJ-b2kDJlZei4RuW0X6CDtUtA
Bengkel Mobil Loxa,4.9,37,"Jl. Pondok Raya No.9-17, Sanggrahan, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281, Indonesia",-7.744593500000001,110.40424689999999,ChIJkV73PzVZei4ReU37WAbOP6E
Bengkel motor PAK HARYADI,5,30,"Candok, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281, Indonesia",-7.7609808000000005,110.3926827,ChIJUzYchvNZei4RAZcUBBTZ8zU
BENGKEL MOBIL & MOTOR PANGGILAN 24 JAM,4.7,24,"Jl. Grinjing No.I, Papringan, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281, Indonesia",-7.7758524,110.3978971,ChIJ73XIW4lZei4Rrc6QVPkOLxw
Bengkel Motor cak gik alias mas arif,4.9,61,"Jl. Rukun, Kutu Dukuh, Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55284, Indonesia",-7.758088399999998,110.3641301,ChIJP6M-CVlYei4ROP2SxoFmkH8
Bengkel Panggilan Motor Yogyakarta,4.5,117,"Jl. Tantular No.420, Pringwulung, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281, Indonesia",-7.778397,110.3887163,ChIJT3S7euJZei4R2zRLb3oyJQE
"Taruna Motor - Service, Ganti Oli, Body Repair",4.7,72,"Jl. Gito Gati, Banaran, Tridadi, Kec. Sleman, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55511, Indonesia",-7.7195335,110.36784929999999,ChIJ3R2xXs5Yei4Rn3LfhqKors0
Bengkel mobil Sukma Jaya,4.3,41,"No.02/07, Ngemplak Caban, Tridadi, Kec. Sleman, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55511, Indonesia",-7.712334299999999,110.347201,ChIJlTSFbeBfei4Ri3WyskAbYoQ
Rimo Variasi Motor Gejayan,4.7,222,"Jl. Anggajaya 1 No.302, Gejayan, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55283, Indonesia",-7.7577107000000005,110.3960494,ChIJBcAwkjNZei4RkZvO2EtE4yk
Bengkel AGAPE MOTOR,5,11,"69VW+5FV, Jl. Anggajaya 1, Sanggrahan, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281, Indonesia",-7.7570171000000006,110.3961849,ChIJpa7DQgBZei4RJz3RBBgFDbE
Adi Jaya Bengkel,4.8,208,"Candi, Tirtoadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55264, Indonesia",-7.7443036,110.3237318,ChIJ1SzQZNFZei4RDWxU8-mY7N8
ANDY JAYA MOTOR SLEMAN,4.9,41,"Dukuh, Tridadi, Kec. Sleman, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55511, Indonesia",-7.7087791999999995,110.3540135,ChIJA_l5-klfei4Rb1zEH_aukZE
BLJ Bengkel Langganan Jogja,5,238,"Jl. Anggajaya 1 No.307, Gejayan, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281, Indonesia",-7.756286800000001,110.3961229,ChIJjwPgEkNZei4Rgimhj5Y82XY
Mitros Motor,4,134,"Jl. Matahari No.99, Karang Gayam, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281, Indonesia",-7.7630574999999995,110.39153119999999,ChIJlbkmRKVZei4RMcDGNA28ZHo
Bengkel Java Motor,4.8,19,"Jl. Perumnas No.123, Ngropoh, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281, Indonesia",-7.763623399999998,110.40627719999999,ChIJN8lIcJdZei4Rc971O7olR9c
Bengkel Mobil Mas Togok,5,30,"Jetis, Wedomartani, Kec. Ngemplak, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55584, Indonesia",-7.747311199999999,110.41386419999999,ChIJObfadVNZei4RMDeEFDXK92A
Adi Jaya Motor,3.8,52,"Jl. Anggajaya 2 No.203, RW.2, Sanggrahan, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281, Indonesia",-7.7545189,110.39917810000001,ChIJdQc3i6BZei4RIxeMgUSwFHA
Bengkel Panggilan 24 Jam Jogja ( Merapi Auto Service),4.9,18,"Karang Moko, Sariharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581, Indonesia",-7.735938699999998,110.3741292,ChIJc1ffKSFZei4RcGmbL-fz7P8
Bengkel Mas Ipung (BMI),5,8,"Jl. Kemuning No.119, Sanggrahan, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55283, Indonesia",-7.755516300000001,110.3997709,ChIJz_fKG5ZZei4RpXWJs-asgw8
Bengkel Mobil Saman Speed,4.7,174,"Jl. Kabupaten, Area Sawah, Nogotirto, Kec. Gamping, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55292, Indonesia",-7.775242899999999,110.34185819999999,ChIJ40p3lnJYei4RFsqcGaFM41o
Bengkel Umum & Press body motor,4.2,156,"Jl. Monumen Jogja Kembali No.29, Nandan, Sariharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581, Indonesia",-7.7535601,110.37036189999999,ChIJUwF_kvhYei4Ro_SljJQjZvg
Bengkel Mobil Bayu Motor Yogyakarta,4.7,33,"Jl. Magelang No.5, Kutu Asem, Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55284, Indonesia",-7.7574711,110.3618834,ChIJDVq3oFhYei4Rdkii2zvXgzI
SiTepat Digital Motoshop Caturtunggal,4.9,1065,"Jl.Kaliurang km 6,8 no.11, RT.07/RW.50, Kayen, Babadan Baru, Kec. Sleman, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281, Indonesia",-7.747338999999999,110.387861,ChIJ0SmBJDZZei4RkDcI-o1wURo
Bengkel Merapi,4.5,184,"Rogoyudan, Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55242, Indonesia",-7.769894099999998,110.36045010000001,ChIJeYecBURYei4RKHAWDD1BVGA
