Nama Juice Buah,Rating,Total Reviews,Alamat,Latitude,Longitude,Place ID
PRIMA SR Hotel & Convention Yogyakarta,4.3,4903,"Jl. Magelang No.11, Dukuh, Tridadi, Kec. Sleman, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55511, Indonesia",-7.710026999999999,110.3553216,ChIJBSp7IIj2ei4RFtL6T18cqQM
Garrya Bianti Yogyakarta,4.9,967,"79R7+GMV, Jl. Gabugan Raya, Gabugan, Pandowoharjo, Kec. Sleman, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55512, Indonesia",-7.708564999999999,110.36430969999999,ChIJB_P8IW1fei4RRSt8005ZeoM
Lavillas Jogja,4.8,70,"Brengosan, Sumberadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55288, Indonesia",-7.723423099999999,110.32885399999999,ChIJ_RKFkEZ234UR1gZARtUhd8g
The Westlake Resort Jogja,4.7,10339,"Jalan Ringroad Barat Bedog, 782Q+H6M, Jl. Westlake, Baturan, Trihanggo, Gamping, Sleman Regency, Special Region of Yogyakarta 55291, Indonesia",-7.7481006,110.3374115,ChIJzerXmYRYei4RcOobxOp_8h4
Java Village Resort,4.5,3318,"Jl. Griya Taman Asri, Karang Kepuh, Pandowoharjo, Kec. Sleman, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55511, Indonesia",-7.710776399999999,110.37047629999999,ChIJBQOHMSpfei4RUEgrqprwu1Q
Ramada by Wyndham Yogyakarta,4.5,793,"Jl. Magelang No.14, Jetis, Caturharjo, Kec. Sleman, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55515, Indonesia",-7.6861469,110.34067280000001,ChIJfdGwq9Ffei4R-0zTnYUq_pM
The New Atrium Hotel Yogyakarta,4.5,4206,"Jl. Kebon Agung No.20, Mlati Dukuh, Sendangadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55285, Indonesia",-7.7475558,110.3598943,ChIJFzyDzfNYei4RvVyrKGetIXs
Wyndham Garden Yogyakarta Conference Hotel & Action Park,4.5,366,"Jl. Magelang No.KM 14, Jetis, Caturharjo, Kec. Sleman, Yogyakarta, Daerah Istimewa Yogyakarta 55515, Indonesia",-7.686540000000001,110.3409602,ChIJKboZ0W9fei4RVrwSr2b0ek8
D'Jongke Village,4.7,116,"Jongke Lor, RT.01/RW.26, Gilingan, Sendangadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55285, Indonesia",-7.7243846000000005,110.36919850000001,ChIJxUUi2SpZei4RZYsK6sQSsfs
Swasa Living,4.9,110,"Jl. Pelda Sugiono No.07, Dukuh, Tridadi, Kec. Sleman, Daerah Istimewa, Daerah Istimewa Yogyakarta 55511, Indonesia",-7.7086694,110.3557062,ChIJCaS22oZfei4R2zfGAulYTgs
