Nama Juice Buah,Rating,Total Reviews,Alamat,Latitude,Longitude,Place ID
Temani Coffee & Space,4.6,526,"Jl. Pamularsih Raya No.106, Gisikdrono, Kec. Semarang Barat, Kota Semarang, Jawa Tengah 50149, Indonesia",-6.9875861,110.38733889999999,ChIJA2PUsJ6LcC4RYNO5qDnI_lw
Tanatap Coffee Semarang,4.4,1360,"Tawangsari, Kec. Semarang Barat, Kota Semarang, Jawa Tengah 50144, Indonesia",-6.962637300000001,110.3916047,ChIJQ13e6671cC4Rwyf3TCZp-Mg
Borrel coffee & eatery,4.8,185,"Jl. Muradi No.71, Kembangarum, Kec. Semarang Barat, Kota Semarang, Jawa Tengah 50183, Indonesia",-6.994883499999999,110.37880679999999,ChIJKXb0y3CLcC4Rnp2L8Vsfe0c
Lentera Eatery & Pastry Puri Anjasmoro,4.9,2196,"Jl. Puri Anjasmoro No.8 Blok L1, Tawangsari, Kec. Semarang Barat, Kota Semarang, Jawa Tengah 50144, Indonesia",-6.9726325,110.3860973,ChIJKcCjBzv1cC4R_6lWY1aC2NI
Tepian Kopi,4.5,1686,"Taman Kasmaran, Jl. DR. Sutomo, Randusari, Kec. Semarang Sel., Kota Semarang, Jawa Tengah 50244, Indonesia",-6.990727499999999,110.40679109999999,ChIJwwR0pJyLcC4R8Vm29SoGFvA
No Brand Coffee,4.9,16,"Jl. Sri Rejeki Utara No.18, Kalibanteng Kidul, Kec. Semarang Barat, Kota Semarang, Jawa Tengah 50145, Indonesia",-6.9879523,110.38376939999999,ChIJ63ycr46LcC4RZNknTFhLweM
Kedai Kopi Sahabat,5,19,"Jl. Puspanjolo Barat Raya No.12a, Cabean, Kec. Semarang Barat, Kota Semarang, Jawa Tengah 50141, Indonesia",-6.9828806000000005,110.39766039999999,ChIJm98lGACLcC4R2gAA4c75Yc4
Skenario Kopi,4.6,409,"Jl. Puri Anjasmoro Raya No.42, Karangayu, Kec. Semarang Barat, Kota Semarang, Jawa Tengah 50149, Indonesia",-6.9773925,110.39092520000001,ChIJ1zj5pTKLcC4R3GDliR18nOg
SALIM COFFEE,4.8,143,"Jl. Dr. Kariadi No.273, Randusari, Kec. Semarang Sel., Kota Semarang, Jawa Tengah 50244, Indonesia",-6.993585899999999,110.4121222,ChIJf2rvQwCLcC4RAzLxgCc5TJQ
Strada Coffee,4.7,3280,"Jl. Letnan Jenderal S. Parman No.47A, Gajahmungkur, Kec. Gajahmungkur, Kota Semarang, Jawa Tengah 50232, Indonesia",-7.005637,110.41314899999999,ChIJTf-ot2-LcC4RpTYELlxYvLo
