Nama Juice Buah,Rating,Total Reviews,Alamat,Latitude,Longitude,Place ID,Foto Sampul
Kopi si kaya On the go,5,77,"Pakuwon Mall, Jl. Ring Road Utara, Sanggrahan, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281, Indonesia",-7.7587075,110.3991502,ChIJtzgFBwBZei4RJx8HEKL5qHA,https://places.googleapis.com/v1/places/ChIJtzgFBwBZei4RJx8HEKL5qHA/photos/AWCwydit9RPEwl5qMDufEsniHxbIvdonuJ55OFd691OJ85oIe93zRrvdoh0GwdKTfgOX59no_9cedSCQM5AKXZH8_4c-e4kQ7lvLR9e20eX2ITdupMsHtDd0AAjk5AfSIwiNN3ZcLK-tSYkRHe60s4PQfcAIxvigJvvQRg2pVTU5FBBf6Mr1f4lbMqPECa1eGS3EvoImQjMnPZ8qXRL9KjsjcDYtx2EgTkrAj2qEu15jUO2X6vRC3x5XaUXGd8Gcc_G8QpRs_wVECAlgzzgvka3Bx8tN07bcbsmz2omKHyGBYOm37WohQ1h-VWGhBGHUvgM3qSh8XCojKaUOHManbT5NbrPU2t47aL9DLeP44M3W-XMYMICpTmeC0KUN1vAhi8_eJyaIumfUv0af2sDrZ77RntdzGBxB-2PMrfzgg5CsAzZJ0rxd5mHGrgJqUrNOS4-K/media?maxHeightPx=400&maxWidthPx=400&key=AIzaSyCEXbCFDJpTIkfbuoCh4cLYEyrdocIOFQk
Svarga Flora Coffee & Plants,4.4,1478,"Jl. Affandi No.26A, Soropadan, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55222, Indonesia",-7.7612473,110.3940399,ChIJ2TBFHI9Zei4RteVKLpjZ3ZM,https://places.googleapis.com/v1/places/ChIJ2TBFHI9Zei4RteVKLpjZ3ZM/photos/AWCwydj7tgnDN4HwkJ3IEQDTQ5F52QDujEkcTe7xFOBcM6mmMIWc5OD2POIbNVdG55ABpBlPRlfrR4EFp0_jY19of2Jo-XuYmABkxsznUT16wUn6Nxjx8pipBRlGznJc4MQefYoTZRt-iBwwyB27yICReUV_cw9eZOOoMQoWBy8wIHgP2m2tZYa5bgCfRgtOhV3aAMq2wBmmofjN7XgoONaXFheMrMTFBAv9RENTJn6Smxburf-A6J4_HRJNTRkt_U2_-pWNz6T5X5W5YqM8zz7_DH5zNQR2odYaSJNC4f2AVbBgW38EUHa0WjbATE6NRPGoWYET9V0t6PxTGovVPC9JUsKhnfSt7i5oFkL7z39DHS0sMUoyNAtIVOKA1xEXmU21pJK1bEKNSshkI9QARVN15wf92agdVeTkVhb4_l2kNcfzYQ/media?maxHeightPx=400&maxWidthPx=400&key=AIzaSyCEXbCFDJpTIkfbuoCh4cLYEyrdocIOFQk
EXT Kopi,5,117,"6CR7+G3P, Jl. Prawiro Kuat, Ngringin, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281, Indonesia",-7.758669,110.4126969,ChIJA5gxcgBZei4ROcZk11j1OnY,https://places.googleapis.com/v1/places/ChIJA5gxcgBZei4ROcZk11j1OnY/photos/AWCwydg_1qhl4_DMXV8c-CxhOx8LLkF6_07JoYdEJ8F8MS1OZsNrLCmtWFKxLuaPghAOguNbAOK0oGS4wBj560XOIMNFKEQJNqipKRuVxLEWigS7cS6rzHV4F3VWLicPvP4kbVBbS5NPyj5zUHxVIive7qIEl-8jVoupg1VSkHcPpaKjF80EjlJsit_gRELX5c2fT-H3F8gm5wd9M8sRo5xwRAWzJHvILgdWhFVWWdtMr6Zw4DLartsFtVM5ZIg_bjZcy_vHcspGmcn7zQ9IA6cKN4X1EDNAWyCJdhvPsz61rpmuLeC87X4WePT_hjMYXgbrRF-0oXNv8_8Wjf4D2JPmzB3moNu-0dvgjxHq-qDijhitG_P9Hd9kA776cKb-PvdDjSkwMu9D7K_hulmhptLYVeIVDu6fToq5SvV_olENkRh_LocHstGA4RZC0d7l2AJR/media?maxHeightPx=400&maxWidthPx=400&key=AIzaSyCEXbCFDJpTIkfbuoCh4cLYEyrdocIOFQk
Kobessah Kopi,4.6,3166,"Jl. Anggajaya 2 No.300, Sanggrahan, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55283, Indonesia",-7.757741099999999,110.39678029999999,ChIJ1334gsJZei4R6yojNmbUTjc,https://places.googleapis.com/v1/places/ChIJ1334gsJZei4R6yojNmbUTjc/photos/AWCwydg3J6LXOQrgSXiANxl2E0NW-FZ3A_s7wb6xwlhqa9Pw7NW0pSKarfJhiTRNlhwX1sIIUdm4nwsQ9AYUmCZr3fmyW_5GmzmXcqas9OT8xHW-Q0cTQCtPyLZunXuZE_Tcgy4ut70Y5nosZIdGLg8CKW_8V_PI7SjTO6ppV_NIxbEMGhOT1JUAKLqUsyNkXNnWY2c6u6U5reHIgkh2h7j5v_vhKnuBV_mbMc3i2k9rU4IPZ2hkHYWmVC7k-5TA6Srx6f8m927qsCJqjaf2ciyG4nvOTH9S4KHLmujGJOpizcYoLzIZAwT2Y6ou1LGy9Bm7VVFcWvqbI8JScgXueoa0cW8XobNrSliu3ELkVMWhbVVZiSyr9SJuenPF2u5Jj7LpqWKWUXixKYnrzzHADUXpzBYBTuipyMDOPZzEWq7uTUYtDA/media?maxHeightPx=400&maxWidthPx=400&key=AIzaSyCEXbCFDJpTIkfbuoCh4cLYEyrdocIOFQk
Skena Kopi,4.8,94,"Jl. Anggajaya III No.57-61, Gejayan, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55283, Indonesia",-7.7565759,110.3941717,ChIJLVSxpHpZei4RUYvAhrDYkaI,https://places.googleapis.com/v1/places/ChIJLVSxpHpZei4RUYvAhrDYkaI/photos/AWCwydil-OB27t7GlNiBrx0b9RVnuIz6O3ep75qQG4PcvzBWxK1kouTEj-TDCmbqSJKMDoLiges0_7q6agUkMS0jICtZGrFG8ABh0JdQDZnQ0Gn5hDAgdVt95aORDG_Y3GT4VBcaYfWGA7tWXtKXlWO-3RPGpZZXUadYFFz4PWECKKkx4jyo-B_PaKGxU-Ud8ZL6hsUncvXtBCyRPS4egpaRKUzyjd90c6Emjp9Hxvc0DhieiZE0FNnJGCAGS5VoQBKCIyOwO2cLU1RyliCKLtx9EBzjK6Ob_uLSC18h0Xmbx-dcCpSgM_iXyfCedYjnhmMCIdcqC3x_OKQyqszJpK_MSJN7FTLI_gaNNWreHxZgygvyiQk8FUDkpzbIPo7Dr0BfRMDrikfDQvlRV_bL3XkUdv8ULY6JMIaFrKkdCw_tOEZpCA/media?maxHeightPx=400&maxWidthPx=400&key=AIzaSyCEXbCFDJpTIkfbuoCh4cLYEyrdocIOFQk
GAYO KEDAI KOPI ROASTER,4.5,573,"Jl. Affandi No.40, Santren, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281, Indonesia",-7.769833999999999,110.3906591,ChIJQ4eYr0BZei4Ri9cX1Q7EtsI,https://places.googleapis.com/v1/places/ChIJQ4eYr0BZei4Ri9cX1Q7EtsI/photos/AWCwydg7_bNErtfaclbSDtk72CaREfrZ02IFeNgfEUh8AT7jEl7GLOY35XBu8dm9ZrzSs07nOEyjLkKiVEMfun7_Sp4gvkSiL5iW9p_HBD-g4QRQVSToME6MT1rh9n6zyv1mWmEIVoYoKRl3Ni7kwk1XZ2ZDbsojXAsgv8CZckkjt902_Gtm09xpesHbNUvf268oGJd1TcAuAEuwEaBi33Lf4notXsQaIAZT2mrGNiP0OrqHAeZiXy-O2sOeTngxN-6VUrli9nldRPXTmNNOcDoXNfEMmOfYCKlLtoE4BNo73-_TW_Bz2vZBCbeHmETOIX9TZ_LGyqG1Gz5SHDJDNPz6w-tr5K8nIC9K-MjtF1Q98BRdjWhm34I53Oz6m3MfuJO7trW6kIOaAFuX6ljE-qSs3ywgVetEVByfFcn6UTQrAD-Kcn63MdHWPtfOSrnpPX33/media?maxHeightPx=400&maxWidthPx=400&key=AIzaSyCEXbCFDJpTIkfbuoCh4cLYEyrdocIOFQk
Kopi Kreo,4.8,604,"Jl. Palagan Tentara Pelajar No.08 No.KM, Karang Moko, Sariharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581, Indonesia",-7.730581999999999,110.37869719999999,ChIJh97McwBZei4RmNqIQOvx7tY,https://places.googleapis.com/v1/places/ChIJh97McwBZei4RmNqIQOvx7tY/photos/AWCwydi6fFsC_fzqcGOlOOSkh-QSUPge0PrDkMkF57w4xFPT0X5hiH3XUogQmxDC2UDYL0Kb9z3807FZRf7koNVx3wIbrDawCfYYfdcFE8Fz5v1aKfpsUu2_wjIRDJburEBvXZD-5zFvBcZkJi9WxNKZMrZPQM3d559Ydb2hP8CFaX4Y_vXVw-_hekqFvFuIMxJLOnL6yqONgUdl4nb-zySpR8ilT1appcjN9Kq3pdKg0h4DmVpcUcwhV22fc6cuNfCg8vWRQcVahl21M4TSTG9fkvNqiKX-Sxp_zEufkIcHBY9hC76osr4cuetUWmei5l21iQeBl5v5OoajEgr6pgXLeVShhA2Xc_Ecp65xiroZIRCPJ8xMf_qdT8HZGinK1dvPMCX3SyXoxiaxoDaO4ttiLjm11QUyABqTetSJnoQzdYYpmhssN8BMoxWjS-IMYzRT/media?maxHeightPx=400&maxWidthPx=400&key=AIzaSyCEXbCFDJpTIkfbuoCh4cLYEyrdocIOFQk
Toko Kopi Sedaya,4.9,842,"Jl. Prayan I No.80 C, Kaliwaru, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281, Indonesia",-7.7627066,110.3957745,ChIJ2xxTIwBZei4RWr9R8yCZoFM,https://places.googleapis.com/v1/places/ChIJ2xxTIwBZei4RWr9R8yCZoFM/photos/AWCwydhZegk_jB-TRxfJlvq1SUVXpbowkv7cN3KHv982sDHrD1-bd6a2BMfgMvCvdpAZ74X28CG8qV4R9x9A_H9Dlma-ZXoiU_WHA5rEJrNX620-25NQ-IP8XCVo_hKyHjNqDUiuR_C6SC70ePYyDEZf9FNIXmsmy5Z43Zk-0_oienlqBaMWehRW_C6hfnMOta04r1nTLWpFcyNfPm97MrWr6g4kFrQK3J5-Uxt9DI3UBRGhHjDiADO8Kon3PWDg3AqUr5W8y9AziXQgu0nOtjtnbLhF71msCDF5Vhmw3lUYsMOgFUSTxk9m2MqYIkGqfwhb-vQesyZurR7sD6_APnMoqXLcREtv07lEWLC1wgvRcKiBPDncDKXVDj_4-tbmwxfV5lxNbUadmImfrTcglnlk5bmIubVF7j6NdCR4Y7tnKmBZ5U-wByYk0eI28cJpfVVM/media?maxHeightPx=400&maxWidthPx=400&key=AIzaSyCEXbCFDJpTIkfbuoCh4cLYEyrdocIOFQk
Kopi Tugu,4.5,37,"Jl. Affandi No.4, Gejayan, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281, Indonesia",-7.759061399999999,110.39516499999999,ChIJvc8IGaRZei4RitXi7qWv7GY,https://places.googleapis.com/v1/places/ChIJvc8IGaRZei4RitXi7qWv7GY/photos/AWCwydhogv3zc0L8LnfjpaIdLrOz64vWHYUSOAlx5hKpCFNq-tawqKmIbf9nVQyhuENiRHyZRuQX-7LSHPEujNf7kZKcZ6kG0dGu9qJPuh_ysjWtbQvYC2YaUvrbVHHFvcKmSUf3xwSvYgnqfXxOow2QbBq2MaSShCimh2u7WpOeTqfttB8jsb0j8rUPxwdPKlUn_cYPV5sDNCSdnEW-6ueN5AOiM-pCZdYoieUvKnABNI7qAZF23S89pWoOvhDevq2aN6TlHxH5XuPuy8MNnd_dbIGd17iZNZOd8Iqgt_vl8GaMVZTr-0m_Ut34gvVDgjGju-_3gmwvvkhQ8gESwSafGwugz24HtoduYOBY2K_ZqU9Cvxqj9SC5WsBMzTlgfjOiDua7VJ7ROK9cydv8tatEjo5SmFhYwbuyAN_dzcy6mafGG8Eq98BffElMnQGrlA/media?maxHeightPx=400&maxWidthPx=400&key=AIzaSyCEXbCFDJpTIkfbuoCh4cLYEyrdocIOFQk
Mato Kopi,4.4,5489,"Jl. Selokan Mataram, Dabag, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281, Indonesia",-7.7681419,110.3993936,ChIJN_FCLLxZei4RzcyKNP_Di4c,https://places.googleapis.com/v1/places/ChIJN_FCLLxZei4RzcyKNP_Di4c/photos/AWCwydhAsJgWWg_Gi2A0W6t7rKvx_ZlXyRajW5HKxSSpsA6C1AGGM4S0FaNTxWMFAlL7fO8gHL9NpZV-j8HHDUqL0PHHatSPgUohN-HhJ42NDgNmX6DhwPUVIbafO4tXCpWyUsF7NE-co6lXubgg6cjmDto8ovLTugrisByVF-TD1xtMSOMyg0EVc-JZygsB9YaxpOp4zm6eoZoIpn3xTGwHVdR2ZOS2W8o6unaAGX3sQA6dhbN1wuYQIURdtM_CeMbGoTI3SggG_xYkJtD2grT0EZLm_rWfAANHeuPVYK4CL1nQmkLarlepqzyTacnIMHZkN1teXOm3rbLmOuk5kMn0LSp8wCOJdV6WBEV2MttcX05mSLdZEoTM7PcimtsQjTfkSZVJL7gTjf_AtVHNRxXpJ8aDP6IA1TeCNbk6Je2UoAif6g/media?maxHeightPx=400&maxWidthPx=400&key=AIzaSyCEXbCFDJpTIkfbuoCh4cLYEyrdocIOFQk
